Name,Dim,Time
dgemv,3900,101324
ddot,16000000,150687
ddot,16000000,148291
ddot,16000000,149984
ddot,16000000,151922
ddot,16000000,156662
ddot,16000000,154913
ddot,16000000,156460
ddot,16000000,157766
ddot,16000000,148625
dgemv,4000,106441
dgemv,4000,108618
dgemv,4000,113127
dgemv,4000,104611
dgemv,4000,104281
dgemv,4000,105307
dgemv,4000,108290
dgemv,4000,106885
dgemv,4000,108629
ddot,16810000,122942
ddot,16810000,119809
ddot,16810000,118776
ddot,16810000,121881
ddot,16810000,124706
ddot,16810000,122367
ddot,16810000,119035
ddot,16810000,121891
ddot,16810000,124523
dgemv,4100,92824
dgemv,4100,94630
dgemv,4100,93342
dgemv,4100,91818
dgemv,4100,92219
dgemv,4100,93477
dgemv,4100,93042
dgemv,4100,92506
dgemv,4100,91746
ddot,17640000,147021
ddot,17640000,151938
ddot,17640000,151575
ddot,17640000,147616
ddot,17640000,144922
ddot,17640000,151573
ddot,17640000,152346
ddot,17640000,153570
ddot,17640000,145766
dgemv,4200,103132
dgemv,4200,100200
dgemv,4200,103073
dgemv,4200,102754
dgemv,4200,103690
dgemv,4200,102427
dgemv,4200,100499
dgemv,4200,103178
dgemv,4200,102387
ddot,18490000,177944
ddot,18490000,177292
ddot,18490000,178524
ddot,18490000,179359
ddot,18490000,181112
ddot,18490000,181983
ddot,18490000,184929
ddot,18490000,181093
ddot,18490000,180997
dgemv,4300,122651
dgemv,4300,121997
dgemv,4300,121578
dgemv,4300,120760
dgemv,4300,119900
dgemv,4300,119985
dgemv,4300,119860
dgemv,4300,120527
dgemv,4300,120642
ddot,19360000,138922
ddot,19360000,140409
ddot,19360000,142852
ddot,19360000,142850
ddot,19360000,143598
ddot,19360000,141677
ddot,19360000,140209
ddot,19360000,140806
ddot,19360000,138808
dgemv,4400,107468
dgemv,4400,106765
dgemv,4400,106187
dgemv,4400,106205
dgemv,4400,106023
dgemv,4400,106830
dgemv,4400,107942
dgemv,4400,107547
dgemv,4400,108389
ddot,20250000,168812
ddot,20250000,169127
ddot,20250000,166986
ddot,20250000,165747
ddot,20250000,167833
ddot,20250000,164931
ddot,20250000,168468
ddot,20250000,166839
ddot,20250000,172699
dgemv,4500,120825
dgemv,4500,118703
dgemv,4500,119090
dgemv,4500,118580
dgemv,4500,118867
dgemv,4500,120043
dgemv,4500,119239
dgemv,4500,119247
dgemv,4500,118638
ddot,21160000,200478
ddot,21160000,198697
ddot,21160000,200943
ddot,21160000,207727
ddot,21160000,203695
ddot,21160000,198354
ddot,21160000,202051
ddot,21160000,198525
ddot,21160000,202270
dgemv,4600,146205
dgemv,4600,141042
dgemv,4600,139322
dgemv,4600,140344
dgemv,4600,140313
dgemv,4600,142602
dgemv,4600,143964
dgemv,4600,140127
dgemv,4600,141129
ddot,22090000,164222
ddot,22090000,161333
ddot,22090000,161204
ddot,22090000,160641
ddot,22090000,159246
ddot,22090000,160000
ddot,22090000,161718
ddot,22090000,163941
ddot,22090000,166141
dgemv,4700,122970
dgemv,4700,124247
dgemv,4700,123710
dgemv,4700,124837
dgemv,4700,124356
dgemv,4700,124506
dgemv,4700,123099
dgemv,4700,121899
dgemv,4700,121033
ddot,23040000,200597
ddot,23040000,196051
ddot,23040000,189278
ddot,23040000,189551
ddot,23040000,192351
ddot,23040000,196543
ddot,23040000,189826
ddot,23040000,193159
ddot,23040000,195818
dgemv,4800,133455
dgemv,4800,134775
dgemv,4800,135668
dgemv,4800,136267
dgemv,4800,135493
dgemv,4800,135816
dgemv,4800,135382
dgemv,4800,136357
dgemv,4800,133784
ddot,24010000,227963
ddot,24010000,229971
ddot,24010000,233449
ddot,24010000,229408
ddot,24010000,227377
ddot,24010000,228129
ddot,24010000,230111
ddot,24010000,232220
ddot,24010000,231241
dgemv,4900,161673
dgemv,4900,160116
dgemv,4900,160329
dgemv,4900,162199
dgemv,4900,163733
dgemv,4900,161556
dgemv,4900,160700
dgemv,4900,160849
dgemv,4900,162792
ddot,25000000,180277
ddot,25000000,180062
ddot,25000000,175610
ddot,25000000,178534
ddot,25000000,181137
ddot,25000000,179302
ddot,25000000,177686
ddot,25000000,181500
ddot,25000000,180176
dgemv,5000,138241
dgemv,5000,140699
dgemv,5000,139060
dgemv,5000,138469
dgemv,5000,137801
dgemv,5000,139333
dgemv,5000,138414
dgemv,5000,137049
dgemv,5000,138422

